pitches,EOS,symmetry,shape,Musical Name,Comment,Use
0 1 3 7,0.09081039,11,random,N/A,,TRUE
0 3 5 8,0.041666666,9,isoTrapezoid,Minor 7th,,TRUE
0 1 2 7,0.11785113,9,kite,N/A,,TRUE
0 2 4 8,0.0589255,8,rightKite,Augmented 7th,,TRUE
0 2 6 8,0.041666,6,rectangle,French Chord,,TRUE
0 3 6 9,0,4,square,Fully diminished,,TRUE
0 2 5 6,,,random,N/A,,FALSE
0 4 6 7,,,random,N/A,,FALSE
0 1 4 6,,,random,N/A,,FALSE
0 2 3 7,,,random,Min9,,FALSE
0 4 5 7,,,random,N/A,,FALSE
0 1 3 5,,,random,Phrygian-tetrachord,Two similar sides,FALSE
0 2 4 5,,,random,Major-tetrachord,Two similar sides,FALSE
0 1 2 5,,,random,N/A,Two similar sides,FALSE
0 3 4 5,,,random,N/A,Two similar sides,FALSE
0 2 5 8,,,random,Half-diminished,Two similar sides,FALSE
0 3 6 8,,,random,Dominant 7th,Two similar sides,FALSE
0 1 5 7,,,random,N/A,,FALSE
0 2 6 7,,,random,N/A,,FALSE
0 1 4 7,,,random,Maj9b,"Two similar sides, 90 degree angle",FALSE
0 3 6 7,,,random,N/A,"Two similar sides, 90 degree angle",FALSE
0 1 3 6,,,random,N/A,,FALSE
0 3 5 6,,,random,N/A,,FALSE
0 2 3 6,,,random,N/A,,FALSE
0 3 4 6,,,random,N/A,,FALSE
0 1 2 6,,,random,N/A,Two similar sides,FALSE
0 4 5 6,,,random,N/A,Two similar sides,FALSE
0 1 5 8,,,isoTrapezoid,Major major 7th,,FALSE
0 2 4 7,,,random,Maj9,Two similar sides,FALSE
0 3 5 7,,,random,N/A,Two similar sides,FALSE
0 3 4 7,,,isoTrapezoid,N/A,,FALSE
0 1 4 5,,,isoTrapezoid,N/A,,FALSE
0 2 3 5,,,isoTrapezoid,Minor-Tetrachord,,FALSE
0 1 3 4,,,isoTrapezoid,Octatonic-Tetrachord,,FALSE
0 1 2 4,,,random,N/A,Two similar sides,FALSE
0 2 3 4,,,random,N/A,Two similar sides,FALSE
0 1 5 6,,,isoTrapezoid,N/A,,FALSE
0 1 4 8,,,random,Minor major 7th,Two similar sides,FALSE
0 3 4 8,,,random,Augmented Major 7th,Two similar sides,FALSE
0 2 5 7,,,isoTrapezoid,Sus47,,FALSE
0 1 2 3,,,isoTrapezoid,Chromatic-Tetrachord,,FALSE
0 2 4 6,,,isoTrapezoid,Lydian-tetrachord,,FALSE
0 1 6 7,,,rectangle,N/A,,FALSE
