edo,common_name,culture,pitches,cardinality,popularity,fragment1_name,fragment2_name,unique_step_sizes,step_mean_error_min,step_mean_error_max,step_mean_error,step_mean_error_cents,evenness_of_spread,step_similarity,constituent_similarity,area,unevenness,consecutive_semitones,runs,IV_sum,smallest_step,step_sizes,fragment1_EOS,fragment2_EOS,symmetry_norm,symmetry_distinct,symmetry_manifestations,symmetry_ratio,symmetry_distinct_edges,unique_n_chords,unique_n_chords_prime,diatonic_n_chords,diagnostic_interval_count,diagnostic_intervals,diagnostic_combinations,roughness,coherence_quotient,sameness_quotient,rahn_differences,rahn_contradictions,rahn_ambiguities,cardinality_variety_ratio,mode_variance,symmetry,m2,P5,Mm3,normal,normal_name,normal_as_12edo,normal12_name,normal_as_24edo,normal24_name,necklace_family,necklace_family_members
12,Major Pentatonic,Western,0 2 4 7 9,5,0.07,S7-21,S5-5,2,0,5,0.48,48,0.0005555555555555552,0.92,0.9166666666666666,0.7318065577501445,2.266666666666666,0,4,10,200,"200,300",0.0015117157974300864,0.0024999999999999988,0.18333333333333335,15,26,1.7333333333333334,4,15,15,15,1,4,7,0.188212157700168,1,0.5,20,0,0,1,40,0.18333333333333335,0,4,2,"0,2,4,7,9",12-661,"0,2,4,7,9",12-661,"0,4,8,14,18",24-278801,3 3 2 2 2,2
12,Minor Pentatonic,Western,0 3 5 7 10,5,0.07,S7-21,S5-5,2,0,5,0.48,48,0.0005555555555555557,0.92,0.9166666666666666,0.7318065577501445,2.2666666666666666,0,4,10,200,"200,300",0.0015117157974300812,0.0024999999999999988,0.18333333333333335,15,26,1.7333333333333334,4,15,15,15,1,4,7,0.188212157700168,1,0.5,20,0,0,1,40,0.18333333333333335,0,4,2,"0,2,4,7,9",12-661,"0,2,4,7,9",12-661,"0,4,8,14,18",24-278801,3 3 2 2 2,2
12,Wholetones,Western,0 2 4 6 8 10,6,0.07,S6-21,S6-21,1,0,5,0,0,1.71193772834421e-33,1,1,0.8269933431326992,0,0,1,15,200,200,0,0,1,12,72,6,3,12,12,12,0,,0,0.3149724489777976,1,1,0,0,0,3.5,0,1,0,0,0,"0,2,4,6,8,10",12-1365,"0,2,4,6,8,10",12-1365,"0,4,8,12,16,20",24-1118481,2 2 2 2 2 2,1
12,Major,Western,0 2 4 5 7 9 11,7,0.07,S7-43,S5-11,2,0,5,0.4081632653061225,40.81632653061225,0.0005668934240362809,0.9319727891156463,0.9166666666666666,0.8483160623691468,2.261904761904762,1,4,21,100,"100,200",0.0015943877551020396,0.002962962962962962,0.15343915343915346,63,121,1.9206349206349207,6,63,63,63,1,6,30,0.4884270896918715,0.9928571428571429,0.5555555555555556,56,0,1,1,42.857142857142854,0.15343915343915346,2,6,6,"0,1,3,5,6,8,10",12-1387,"0,1,3,5,6,8,10",12-1387,"0,2,6,10,12,16,20",24-1119301,2 2 2 2 2 1 1,3
12,Natural Minor,Western,0 2 3 5 7 9 10,7,0.07,S7-43,S5-11,2,0,5,0.4081632653061225,40.81632653061225,0.0005668934240362814,0.9319727891156463,0.9166666666666666,0.8483160623691468,2.2619047619047614,1,5,21,100,"100,200",0.001594387755102041,0.0029629629629629663,0.15343915343915346,63,121,1.9206349206349207,6,63,63,63,1,6,30,0.48842708969187143,0.9928571428571429,0.5555555555555556,56,0,1,1,42.857142857142854,0.15343915343915346,2,6,6,"0,1,3,5,6,8,10",12-1387,"0,1,3,5,6,8,10",12-1387,"0,2,6,10,12,16,20",24-1119301,2 2 2 2 2 1 1,3
12,Melodic Minor,Western,0 2 3 5 7 9 11,7,0.07,S7-43,S5-11,2,0,5,0.4081632653061225,40.81632653061225,0.0008503401360544221,0.9319727891156463,0.9166666666666666,0.8483160623691468,2.261904761904762,1,4,21,100,"100,200",0.001594387755102041,0.002962962962962962,0.0970464135021097,79,125,1.5822784810126582,6,79,79,83,0,,50,0.4909048686071721,0.9285714285714286,0.4285714285714286,72,0,10,0.7857142857142858,57.142857142857146,0.0970464135021097,2,4,4,"0,1,3,4,6,8,10",12-1371,"0,1,3,4,6,8,10",12-1371,"0,2,6,8,12,16,20",24-1118533,2 2 2 2 2 1 1,3
12,Harmonic Minor,Western,0 2 3 5 7 8 11,7,0.07,S7-43,S5-7,3,0,5,0.6122448979591837,61.224489795918366,0.0011337868480725615,0.8979591836734694,0.8888888888888888,0.8113840292960932,2.261904761904762,1,6,21,100,"100,200,300",0.001594387755102041,0.011851851851851851,0.09465020576131689,81,127,1.5679012345679013,6,81,81,94,0,,51,0.4961702636517886,0.8714285714285714,0.3492063492063492,82,0,18,0.7104978354978355,71.42857142857143,0.09465020576131689,3,4,5,"0,1,3,4,6,8,9",12-859,"0,1,3,4,6,8,9",12-859,"0,2,6,8,12,16,18",24-332101,3 2 2 2 1 1 1,20
12,Dorian,Western,0 2 3 5 7 9 10,7,0.07,S7-43,S5-11,2,0,5,0.4081632653061225,40.81632653061225,0.0005668934240362814,0.9319727891156463,0.9166666666666666,0.8483160623691468,2.2619047619047614,1,5,21,100,"100,200",0.001594387755102041,0.0029629629629629663,0.15343915343915346,63,121,1.9206349206349207,6,63,63,63,1,6,30,0.48842708969187143,0.9928571428571429,0.5555555555555556,56,0,1,1,42.857142857142854,0.15343915343915346,2,6,6,"0,1,3,5,6,8,10",12-1387,"0,1,3,5,6,8,10",12-1387,"0,2,6,10,12,16,20",24-1119301,2 2 2 2 2 1 1,3
12,Phrygian,Western,0 1 3 5 7 8 10,7,0.07,S7-43,S5-11,2,0,5,0.4081632653061224,40.81632653061224,0.0005668934240362815,0.9319727891156463,0.9166666666666666,0.8483160623691467,2.261904761904762,1,4,21,100,"100,200",0.0015943877551020413,0.002962962962962964,0.15343915343915346,63,121,1.9206349206349207,6,63,63,63,1,6,30,0.48842708969187143,0.9928571428571429,0.5555555555555556,56,0,1,1,42.857142857142854,0.15343915343915346,2,6,6,"0,1,3,5,6,8,10",12-1387,"0,1,3,5,6,8,10",12-1387,"0,2,6,10,12,16,20",24-1119301,2 2 2 2 2 1 1,3
12,Lydian,Western,0 2 4 6 7 9 11,7,0.07,S7-43,S5-11,2,0,5,0.4081632653061225,40.81632653061225,0.000566893424036281,0.9319727891156463,0.9166666666666666,0.8483160623691468,2.2619047619047614,1,4,21,100,"100,200",0.0015943877551020396,0.002962962962962962,0.15343915343915346,63,121,1.9206349206349207,6,63,63,63,1,6,30,0.48842708969187143,0.9928571428571429,0.5555555555555556,56,0,1,1,42.857142857142854,0.15343915343915346,2,6,6,"0,1,3,5,6,8,10",12-1387,"0,1,3,5,6,8,10",12-1387,"0,2,6,10,12,16,20",24-1119301,2 2 2 2 2 1 1,3
12,Mixolydian,Western,0 2 4 5 7 9 10,7,0.07,S7-43,S5-11,2,0,5,0.4081632653061225,40.81632653061225,0.0005668934240362807,0.9319727891156463,0.9166666666666666,0.8483160623691468,2.2619047619047614,1,5,21,100,"100,200",0.0015943877551020396,0.0029629629629629663,0.15343915343915346,63,121,1.9206349206349207,6,63,63,63,1,6,30,0.48842708969187143,0.9928571428571429,0.5555555555555556,56,0,1,1,42.857142857142854,0.15343915343915346,2,6,6,"0,1,3,5,6,8,10",12-1387,"0,1,3,5,6,8,10",12-1387,"0,2,6,10,12,16,20",24-1119301,2 2 2 2 2 1 1,3
12,Lydian b7,Western,0 2 4 6 7 9 10,7,0.07,S7-43,S5-11,2,0,5,0.4081632653061225,40.81632653061225,0.000850340136054421,0.9319727891156463,0.9166666666666666,0.8483160623691468,2.261904761904762,1,5,21,100,"100,200",0.0015943877551020396,0.0029629629629629663,0.0970464135021097,79,125,1.5822784810126582,6,79,79,83,0,,50,0.4909048686071721,0.9285714285714286,0.4285714285714286,72,0,10,0.7857142857142858,57.142857142857146,0.0970464135021097,2,4,4,"0,1,3,4,6,8,10",12-1371,"0,1,3,4,6,8,10",12-1371,"0,2,6,8,12,16,20",24-1118533,2 2 2 2 2 1 1,3
12,Octatonic 1,Western,0 2 3 5 6 8 9 11,8,0.07,S6-27,S6-27,2,0,5,0.5,50,0.0004340277777777775,0.9166666666666666,0.9166666666666666,0.8696387816055944,0.6666666666666666,1,8,28,100,"100,200",0.0017361111111111114,0.0017361111111111114,0.46485260770975056,63,268,4.253968253968254,6,63,63,63,0,,0,0.6817924112869926,1,0.6734693877551021,64,0,0,2.3423301844354474,6.25,0.46485260770975056,4,4,2,"0,1,3,4,6,7,9,10",12-1755,"0,1,3,4,6,7,9,10",12-1755,"0,2,6,8,12,14,18,20",24-1331525,2 2 2 2 1 1 1 1,10
12,Octatonic 2,Western,0 1 3 4 6 7 9 10,8,0.07,S7-55,S5-11,2,0,5,0.5,50,0.00043402777777777754,0.9166666666666666,0.9166666666666666,0.8696387816055943,0.6666666666666666,1,8,28,100,"100,200",0.0016326530612244903,0.0029629629629629663,0.46485260770975056,63,268,4.253968253968254,6,63,63,63,0,,0,0.6817924112869925,1,0.6734693877551021,64,0,0,2.3423301844354474,6.25,0.46485260770975056,4,4,2,"0,1,3,4,6,7,9,10",12-1755,"0,1,3,4,6,7,9,10",12-1755,"0,2,6,8,12,14,18,20",24-1331525,2 2 2 2 1 1 1 1,10
